article,body,comments,createdAtformatted,creator,datatype,followers,following,hashtags,id,impressions,reposts,sensitive,shareLink,upvotes,verified,urls_domain,urls_metadata_mimeType,urls_metadata_site
false,"‪ CHILLS! 

I loved hearing Airforce Technical SGT. Nalani Quintello singing the National Anthem in front of President Trump & First Lady, Melania Trump & all the fans at #DAYTONA500  

A huge shout out to the amazing Thunderbirds for the fly over! 

This is the America I Love🇺🇸
ECHO if you feel the same!
@ClintonMichael @Laura @@katthehammer1 ‬",2,2020-02-16 23:15:56 UTC,59501f9de23142fdbecee0b6592eb17f,posts,12000,2900,daytona500,f2c55d1b981e4e109863cd7b30486a3f,2500,16,false,https://parler.com/post/f2c55d1b981e4e109863cd7b30486a3f,31,false,twitter.com,text/html,""
true,"",5,2020-11-17 18:35:01 UTC,785e1ba73a2e4cafab4b3fc237f9b760,posts,28000,21,"",badf53315b9a4fc895d3f44c9d9f2726,4400,23,false,https://parler.com/post/badf53315b9a4fc895d3f44c9d9f2726,53,false,gellerreport.com,text/html,""
true,Petraeus Says Trump May Have Restored U.S. 'Deterrence' by Killing Suleimani,4,2020-01-05 15:31:17 UTC,d75254e22386401c9a0a98d365eb2346,posts,34000,38000,"",faffec7af75b46c7b7371b7ba90aaae1,66,58,false,https://parler.com/post/faffec7af75b46c7b7371b7ba90aaae1,69,false,foreignpolicy.com,text/html,@ForeignPolicy
true,Hillary Clinton Calls Bernie Sanders a Sore Loser: ‘He’ll Burn the Place Down’,6,2019-06-03 17:11:27 UTC,9675e836a8c8467e8177744044cb58b0,posts,59000,91000,"",504c868b51814a07b5a77b1e05f14617,28,10,false,https://parler.com/post/504c868b51814a07b5a77b1e05f14617,9,false,breitbart.com,text/html,@BreitbartNews
false,"💥 NOW COMES THE PAIN 💥

We just needed proof! And we needed to show it to those asleep! 
First... DECLAS

🇺🇸 THANK YOU, Q! 🇺🇸
You have been guiding us into this storm! And we, the people, are forever grateful! 🇺🇸♥️🇺🇸

@EricTrump @John @Dbongino @SidneyPowell @GenFlynn",3,2020-06-24 17:55:00 UTC,cd894aedf8a0406c87b06bbae97fe750,posts,43000,54000,"",416ce8753fe54f4b9159684f49e0954a,1700,14,false,https://parler.com/post/416ce8753fe54f4b9159684f49e0954a,34,false,media0.giphy.com,image/gif,media0.giphy.com
true,"Maurice Davis: Trump Gave Poor Folks a Voice, Democrats Never Did Anything for Us",1,2020-10-30 23:47:46 UTC,994e427d3797dfac5e9d074f718f7baf,posts,4200,7100,"",9bec6a8e28124ce294172c3135dc4930,430,11,false,https://parler.com/post/9bec6a8e28124ce294172c3135dc4930,20,false,breitbart.com,text/html,@BreitbartNews
false,"Invading boat load of fighting age illegal immigrants land near the ancient port of Cádiz, Spain, and thank Allah for their arrival, this isn't going to end well.",98,2020-09-08 13:17:16 UTC,b1ad1b19a70d43ffa9c21a1b650022a5,posts,305000,240,"",b0d9fcdbfb3c4ebfa9e07d33048b7685,29000,122,false,https://parler.com/post/b0d9fcdbfb3c4ebfa9e07d33048b7685,278,true,No link,video/mp4,""
true,"PANIC at the GATES? Moderna CMO Ditches All His Shares & CEO sell shares as final vaccine trials begin, raising concerns

What do these execs know? 

Why are they offloading their shares? 

Is our media shielding their failed vaccine data from us and covering it up with false stories. 

#MAGA #KAG #Trump2020 

@Keanewst @LLyons @Twinjeremiah @moon52 @Dbongino @Devinnunes @LeeHSmith @Enda258 @abrasive @soylentgreenispeople @ATruthSeekers @StevefromCA @Sezz @FlipItRed2024 @Jefe0114 @PaperJareplanes @Lisamei62 @DragnetforTruth @Juleehalli @JustJessie @SeaAngel @Tonto61 @KerriTalk",29,2020-08-05 00:03:11 UTC,23b4d63be875bf14578e5df513fbdbfb,posts,20000,25000,maga,425959c10f9744df82c372d0cf0df8b9,19000,129,false,https://parler.com/post/425959c10f9744df82c372d0cf0df8b9,120,false,truepundit.com,text/html,""
true,"PANIC at the GATES? Moderna CMO Ditches All His Shares & CEO sell shares as final vaccine trials begin, raising concerns

What do these execs know? 

Why are they offloading their shares? 

Is our media shielding their failed vaccine data from us and covering it up with false stories. 

#MAGA #KAG #Trump2020 

@Keanewst @LLyons @Twinjeremiah @moon52 @Dbongino @Devinnunes @LeeHSmith @Enda258 @abrasive @soylentgreenispeople @ATruthSeekers @StevefromCA @Sezz @FlipItRed2024 @Jefe0114 @PaperJareplanes @Lisamei62 @DragnetforTruth @Juleehalli @JustJessie @SeaAngel @Tonto61 @KerriTalk",29,2020-08-05 00:03:11 UTC,23b4d63be875bf14578e5df513fbdbfb,posts,20000,25000,maga,425959c10f9744df82c372d0cf0df8b9,19000,129,false,https://parler.com/post/425959c10f9744df82c372d0cf0df8b9,120,false,media1.giphy.com,image/gif,media1.giphy.com
true,"PANIC at the GATES? Moderna CMO Ditches All His Shares & CEO sell shares as final vaccine trials begin, raising concerns

What do these execs know? 

Why are they offloading their shares? 

Is our media shielding their failed vaccine data from us and covering it up with false stories. 

#MAGA #KAG #Trump2020 

@Keanewst @LLyons @Twinjeremiah @moon52 @Dbongino @Devinnunes @LeeHSmith @Enda258 @abrasive @soylentgreenispeople @ATruthSeekers @StevefromCA @Sezz @FlipItRed2024 @Jefe0114 @PaperJareplanes @Lisamei62 @DragnetforTruth @Juleehalli @JustJessie @SeaAngel @Tonto61 @KerriTalk",29,2020-08-05 00:03:11 UTC,23b4d63be875bf14578e5df513fbdbfb,posts,20000,25000,maga,425959c10f9744df82c372d0cf0df8b9,19000,129,false,https://parler.com/post/425959c10f9744df82c372d0cf0df8b9,120,false,media0.giphy.com,image/gif,media0.giphy.com
