,article,body,bodywithurls,comments,createdAt,createdAtformatted,creator,datatype,depth,depthRaw,followers,following,hashtags,id,impressions,lastseents,links,media,parent,posts,preview,reposts,sensitive,shareLink,state,upvotes,verified,urls_createdAt,urls_domain,urls_id,urls_long,urls_modified,urls_short,urls_state,urls_metadata_length,urls_metadata_mimeType,urls_metadata_site
0,False,"‪ CHILLS! 

I loved hearing Airforce Technical SGT. Nalani Quintello singing the National Anthem in front of President Trump & First Lady, Melania Trump & all the fans at #DAYTONA500  

A huge shout out to the amazing Thunderbirds for the fly over! 

This is the America I Love🇺🇸
ECHO if you feel the same!
@ClintonMichael @Laura @@katthehammer1 ‬","‪ CHILLS! 

I loved hearing Airforce Technical SGT. Nalani Quintello singing the National Anthem in front of President Trump & First Lady, Melania Trump & all the fans at #DAYTONA500  

A huge shout out to the amazing Thunderbirds for the fly over! 

This is the America I Love🇺🇸
ECHO if you feel the same!
@ClintonMichael @Laura @@katthehammer1 ‬
https://twitter.com/Jamierodr14/status/1229138821654220801/video/1",2,20200216231556,2020-02-16 23:15:56 UTC,59501f9de23142fdbecee0b6592eb17f,posts,0,0,12000,2900,daytona500,f2c55d1b981e4e109863cd7b30486a3f,2500,2020-12-14T07:02:54.021284+00:00,SyVr4,4,,682,"‪ CHILLS! 

I loved hearing Airforce Technical SGT. Nalani Quintello singing the National Anthem in front of President Trump & First Lady, Melania Trump & all the fans at #DAYTONA500  

A huge shout out to the amazing Thunderbirds for the fly over! 

This is the America I Love🇺🇸
ECHO if you feel the",16,False,https://parler.com/post/f2c55d1b981e4e109863cd7b30486a3f,4,31,False,20200216231414,twitter.com,SyVr4,https://twitter.com/Jamierodr14/status/1229138821654220801/video/1,twitter.com/Jamierodr14/status/1229138821654220801/video/1,https://par.pw/l/SyVr4,VALID,-1.0,text/html,
1,True,,"
https://gellerreport.com/2020/11/biden-appoints-anti-free-speech-richard-stengel-to-transition-team-media-post.html/",5,20201117183501,2020-11-17 18:35:01 UTC,785e1ba73a2e4cafab4b3fc237f9b760,posts,0,0,28000,21,,badf53315b9a4fc895d3f44c9d9f2726,4400,2020-11-19T00:56:23.871143+00:00,Ecaq8,2,,6500,,23,False,https://parler.com/post/badf53315b9a4fc895d3f44c9d9f2726,4,53,False,20201117183501,gellerreport.com,Ecaq8,https://gellerreport.com/2020/11/biden-appoints-anti-free-speech-richard-stengel-to-transition-team-media-post.html/,gellerreport.com/2020/11/biden-appoints-anti-free-speech-richard-stengel-to-transition-team-media-post.html/,https://api.parler.com/l/Ecaq8,VALID,-1.0,text/html,
2,True,Petraeus Says Trump May Have Restored U.S. 'Deterrence' by Killing Suleimani,"Petraeus Says Trump May Have Restored U.S. 'Deterrence' by Killing Suleimani
https://foreignpolicy.com/2020/01/03/petraeus-on-qassem-suleimani-killing-says-trump-helped-reestablish-deterrence/",4,20200105153117,2020-01-05 15:31:17 UTC,d75254e22386401c9a0a98d365eb2346,posts,0,0,34000,38000,,faffec7af75b46c7b7371b7ba90aaae1,66,2020-12-16T06:45:18.455536+00:00,NZn95,537,,5800,Petraeus Says Trump May Have Restored U.S. 'Deterrence' by Killing Suleimani,58,False,https://parler.com/post/faffec7af75b46c7b7371b7ba90aaae1,4,69,False,20200104051704,foreignpolicy.com,NZn95,https://foreignpolicy.com/2020/01/03/petraeus-on-qassem-suleimani-killing-says-trump-helped-reestablish-deterrence/,foreignpolicy.com/2020/01/03/petraeus-on-qassem-suleimani-killing-says-trump-helped-reestablish-deterrence/,https://par.pw/l/NZn95,VALID,-1.0,text/html,@ForeignPolicy
3,True,Hillary Clinton Calls Bernie Sanders a Sore Loser: ‘He’ll Burn the Place Down’,"Hillary Clinton Calls Bernie Sanders a Sore Loser: ‘He’ll Burn the Place Down’
https://www.breitbart.com/politics/2019/06/03/hillary-clinton-calls-bernie-sanders-a-sore-loser-hell-burn-the-place-down/",6,20190603171127,2019-06-03 17:11:27 UTC,9675e836a8c8467e8177744044cb58b0,posts,0,0,59000,91000,,504c868b51814a07b5a77b1e05f14617,28,2020-12-28T01:22:28.997232+00:00,em8GL,0,,21000,Hillary Clinton Calls Bernie Sanders a Sore Loser: ‘He’ll Burn the Place Down’,10,False,https://parler.com/post/504c868b51814a07b5a77b1e05f14617,4,9,False,20190603155758,breitbart.com,em8GL,https://www.breitbart.com/politics/2019/06/03/hillary-clinton-calls-bernie-sanders-a-sore-loser-hell-burn-the-place-down/,breitbart.com/politics/2019/06/03/hillary-clinton-calls-bernie-sanders-a-sore-loser-hell-burn-the-place-down/,https://par.pw/l/em8GL,VALID,58271.0,text/html,@BreitbartNews
4,False,"💥 NOW COMES THE PAIN 💥

We just needed proof! And we needed to show it to those asleep! 
First... DECLAS

🇺🇸 THANK YOU, Q! 🇺🇸
You have been guiding us into this storm! And we, the people, are forever grateful! 🇺🇸♥️🇺🇸

@EricTrump @John @Dbongino @SidneyPowell @GenFlynn","💥 NOW COMES THE PAIN 💥

We just needed proof! And we needed to show it to those asleep! 
First... DECLAS

🇺🇸 THANK YOU, Q! 🇺🇸
You have been guiding us into this storm! And we, the people, are forever grateful! 🇺🇸♥️🇺🇸

@EricTrump @John @Dbongino @SidneyPowell @GenFlynn
https://media0.giphy.com/media/CufLv1T7gIPC/200w.gif",3,20200624175500,2020-06-24 17:55:00 UTC,cd894aedf8a0406c87b06bbae97fe750,posts,1,1,43000,54000,,416ce8753fe54f4b9159684f49e0954a,1700,2020-11-21T04:20:29.681087+00:00,CRgsr,193,0044c163322c47439863dd3017a0560b,2300,"💥 NOW COMES THE PAIN 💥

We just needed proof! And we needed to show it to those asleep! 
First... DECLAS

🇺🇸 THANK YOU, Q! 🇺🇸
You have been guiding us into this storm! And we, the people, are forever grateful! 🇺🇸♥️🇺🇸

@EricTrump @John @Dbongino @SidneyPowell @GenFlynn",14,False,https://parler.com/post/416ce8753fe54f4b9159684f49e0954a,4,34,False,20200624175325,media0.giphy.com,CRgsr,https://media0.giphy.com/media/CufLv1T7gIPC/200w.gif,media0.giphy.com/media/CufLv1T7gIPC/200w.gif,https://par.pw/l/CRgsr,VALID,78332.0,image/gif,media0.giphy.com
5,True,"Maurice Davis: Trump Gave Poor Folks a Voice, Democrats Never Did Anything for Us","Maurice Davis: Trump Gave Poor Folks a Voice, Democrats Never Did Anything for Us
https://www.breitbart.com/radio/2020/10/30/maurice-davis-trump-gave-poor-folks-a-voice-democrats-never-did-anything-for-us/",1,20201030234746,2020-10-30 23:47:46 UTC,994e427d3797dfac5e9d074f718f7baf,posts,0,0,4200,7100,,9bec6a8e28124ce294172c3135dc4930,430,2021-01-10T18:43:24.697891+00:00,WogHo,66,,6000,"Maurice Davis: Trump Gave Poor Folks a Voice, Democrats Never Did Anything for Us",11,False,https://parler.com/post/9bec6a8e28124ce294172c3135dc4930,4,20,False,20201030204535,breitbart.com,WogHo,https://www.breitbart.com/radio/2020/10/30/maurice-davis-trump-gave-poor-folks-a-voice-democrats-never-did-anything-for-us/,breitbart.com/radio/2020/10/30/maurice-davis-trump-gave-poor-folks-a-voice-democrats-never-did-anything-for-us/,https://api.parler.com/l/WogHo,VALID,-1.0,text/html,@BreitbartNews
6,False,"Invading boat load of fighting age illegal immigrants land near the ancient port of Cádiz, Spain, and thank Allah for their arrival, this isn't going to end well.","Invading boat load of fighting age illegal immigrants land near the ancient port of Cádiz, Spain, and thank Allah for their arrival, this isn't going to end well.
https://video.parler.com/tq/aw/tqawhHBA4xVs.mp4",98,20200908131716,2020-09-08 13:17:16 UTC,b1ad1b19a70d43ffa9c21a1b650022a5,posts,0,0,305000,240,,b0d9fcdbfb3c4ebfa9e07d33048b7685,29000,2021-01-09T06:17:18.550789+00:00,tqawhHBA4xVs,4100,,6700,"Invading boat load of fighting age illegal immigrants land near the ancient port of Cádiz, Spain, and thank Allah for their arrival, this isn't going to end well.",122,False,https://parler.com/post/b0d9fcdbfb3c4ebfa9e07d33048b7685,4,278,True,20200908131608,,tqawhHBA4xVs,https://video.parler.com/tq/aw/tqawhHBA4xVs.mp4,video.parler.com/tq/aw/tqawhHBA4xVs.mp4,https://video.parler.com/tq/aw/tqawhHBA4xVs.mp4,VALID,,video/mp4,
7,True,"PANIC at the GATES? Moderna CMO Ditches All His Shares & CEO sell shares as final vaccine trials begin, raising concerns

What do these execs know? 

Why are they offloading their shares? 

Is our media shielding their failed vaccine data from us and covering it up with false stories. 

#MAGA #KAG #Trump2020 

@Keanewst @LLyons @Twinjeremiah @moon52 @Dbongino @Devinnunes @LeeHSmith @Enda258 @abrasive @soylentgreenispeople @ATruthSeekers @StevefromCA @Sezz @FlipItRed2024 @Jefe0114 @PaperJareplanes @Lisamei62 @DragnetforTruth @Juleehalli @JustJessie @SeaAngel @Tonto61 @KerriTalk","PANIC at the GATES? Moderna CMO Ditches All His Shares & CEO sell shares as final vaccine trials begin, raising concerns

What do these execs know? 

Why are they offloading their shares? 

Is our media shielding their failed vaccine data from us and covering it up with false stories. 

#MAGA #KAG #Trump2020 

@Keanewst @LLyons @Twinjeremiah @moon52 @Dbongino @Devinnunes @LeeHSmith @Enda258 @abrasive @soylentgreenispeople @ATruthSeekers @StevefromCA @Sezz @FlipItRed2024 @Jefe0114 @PaperJareplanes @Lisamei62 @DragnetforTruth @Juleehalli @JustJessie @SeaAngel @Tonto61 @KerriTalk
https://truepundit.com/panic-at-the-gates-moderna-cmo-ditches-all-his-shares-ceo-sell-shares-as-final-vaccine-trials-begin-raising-concerns/
https://media1.giphy.com/media/HB03yGK1u1aYo/200w.gif
https://media0.giphy.com/media/3o6ZtihIv0pJqdp3H2/200w.gif
https://media3.giphy.com/media/5b5OU7aUekfdSAER5I/200w.gif",29,20200805000311,2020-08-05 00:03:11 UTC,23b4d63be875bf14578e5df513fbdbfb,posts,0,0,20000,25000,maga,425959c10f9744df82c372d0cf0df8b9,19000,2020-11-20T22:39:14.301863+00:00,xKs3Y,53,,367,"PANIC at the GATES? Moderna CMO Ditches All His Shares & CEO sell shares as final vaccine trials begin, raising concerns

What do these execs know? 

Why are they offloading their shares? 

Is our media shielding their failed vaccine data from us and covering it up with false stories. 

#MAGA #KAG #Trump2020",129,False,https://parler.com/post/425959c10f9744df82c372d0cf0df8b9,4,120,False,20200803194955,truepundit.com,xKs3Y,https://truepundit.com/panic-at-the-gates-moderna-cmo-ditches-all-his-shares-ceo-sell-shares-as-final-vaccine-trials-begin-raising-concerns/,truepundit.com/panic-at-the-gates-moderna-cmo-ditches-all-his-shares-ceo-sell-shares-as-final-vaccine-trials-begin-raising-concerns/,https://par.pw/l/xKs3Y,VALID,-1.0,text/html,
8,True,"PANIC at the GATES? Moderna CMO Ditches All His Shares & CEO sell shares as final vaccine trials begin, raising concerns

What do these execs know? 

Why are they offloading their shares? 

Is our media shielding their failed vaccine data from us and covering it up with false stories. 

#MAGA #KAG #Trump2020 

@Keanewst @LLyons @Twinjeremiah @moon52 @Dbongino @Devinnunes @LeeHSmith @Enda258 @abrasive @soylentgreenispeople @ATruthSeekers @StevefromCA @Sezz @FlipItRed2024 @Jefe0114 @PaperJareplanes @Lisamei62 @DragnetforTruth @Juleehalli @JustJessie @SeaAngel @Tonto61 @KerriTalk","PANIC at the GATES? Moderna CMO Ditches All His Shares & CEO sell shares as final vaccine trials begin, raising concerns

What do these execs know? 

Why are they offloading their shares? 

Is our media shielding their failed vaccine data from us and covering it up with false stories. 

#MAGA #KAG #Trump2020 

@Keanewst @LLyons @Twinjeremiah @moon52 @Dbongino @Devinnunes @LeeHSmith @Enda258 @abrasive @soylentgreenispeople @ATruthSeekers @StevefromCA @Sezz @FlipItRed2024 @Jefe0114 @PaperJareplanes @Lisamei62 @DragnetforTruth @Juleehalli @JustJessie @SeaAngel @Tonto61 @KerriTalk
https://truepundit.com/panic-at-the-gates-moderna-cmo-ditches-all-his-shares-ceo-sell-shares-as-final-vaccine-trials-begin-raising-concerns/
https://media1.giphy.com/media/HB03yGK1u1aYo/200w.gif
https://media0.giphy.com/media/3o6ZtihIv0pJqdp3H2/200w.gif
https://media3.giphy.com/media/5b5OU7aUekfdSAER5I/200w.gif",29,20200805000311,2020-08-05 00:03:11 UTC,23b4d63be875bf14578e5df513fbdbfb,posts,0,0,20000,25000,maga,425959c10f9744df82c372d0cf0df8b9,19000,2020-11-20T22:39:14.301863+00:00,xKs3Y,53,,367,"PANIC at the GATES? Moderna CMO Ditches All His Shares & CEO sell shares as final vaccine trials begin, raising concerns

What do these execs know? 

Why are they offloading their shares? 

Is our media shielding their failed vaccine data from us and covering it up with false stories. 

#MAGA #KAG #Trump2020",129,False,https://parler.com/post/425959c10f9744df82c372d0cf0df8b9,4,120,False,20200227171900,media1.giphy.com,nGtJs,https://media1.giphy.com/media/HB03yGK1u1aYo/200w.gif,media1.giphy.com/media/HB03yGK1u1aYo/200w.gif,https://par.pw/l/nGtJs,VALID,411445.0,image/gif,media1.giphy.com
9,True,"PANIC at the GATES? Moderna CMO Ditches All His Shares & CEO sell shares as final vaccine trials begin, raising concerns

What do these execs know? 

Why are they offloading their shares? 

Is our media shielding their failed vaccine data from us and covering it up with false stories. 

#MAGA #KAG #Trump2020 

@Keanewst @LLyons @Twinjeremiah @moon52 @Dbongino @Devinnunes @LeeHSmith @Enda258 @abrasive @soylentgreenispeople @ATruthSeekers @StevefromCA @Sezz @FlipItRed2024 @Jefe0114 @PaperJareplanes @Lisamei62 @DragnetforTruth @Juleehalli @JustJessie @SeaAngel @Tonto61 @KerriTalk","PANIC at the GATES? Moderna CMO Ditches All His Shares & CEO sell shares as final vaccine trials begin, raising concerns

What do these execs know? 

Why are they offloading their shares? 

Is our media shielding their failed vaccine data from us and covering it up with false stories. 

#MAGA #KAG #Trump2020 

@Keanewst @LLyons @Twinjeremiah @moon52 @Dbongino @Devinnunes @LeeHSmith @Enda258 @abrasive @soylentgreenispeople @ATruthSeekers @StevefromCA @Sezz @FlipItRed2024 @Jefe0114 @PaperJareplanes @Lisamei62 @DragnetforTruth @Juleehalli @JustJessie @SeaAngel @Tonto61 @KerriTalk
https://truepundit.com/panic-at-the-gates-moderna-cmo-ditches-all-his-shares-ceo-sell-shares-as-final-vaccine-trials-begin-raising-concerns/
https://media1.giphy.com/media/HB03yGK1u1aYo/200w.gif
https://media0.giphy.com/media/3o6ZtihIv0pJqdp3H2/200w.gif
https://media3.giphy.com/media/5b5OU7aUekfdSAER5I/200w.gif",29,20200805000311,2020-08-05 00:03:11 UTC,23b4d63be875bf14578e5df513fbdbfb,posts,0,0,20000,25000,maga,425959c10f9744df82c372d0cf0df8b9,19000,2020-11-20T22:39:14.301863+00:00,xKs3Y,53,,367,"PANIC at the GATES? Moderna CMO Ditches All His Shares & CEO sell shares as final vaccine trials begin, raising concerns

What do these execs know? 

Why are they offloading their shares? 

Is our media shielding their failed vaccine data from us and covering it up with false stories. 

#MAGA #KAG #Trump2020",129,False,https://parler.com/post/425959c10f9744df82c372d0cf0df8b9,4,120,False,20200804235928,media0.giphy.com,Ur8Kw,https://media0.giphy.com/media/3o6ZtihIv0pJqdp3H2/200w.gif,media0.giphy.com/media/3o6ZtihIv0pJqdp3H2/200w.gif,https://par.pw/l/Ur8Kw,VALID,366534.0,image/gif,media0.giphy.com
